"name","phylum.x","surface","mesopelagic","bathypelagic","abyssopelagic"
"Echinorhynchus_gadi","Acanthocephala",NA,1654,1008,NA
"Echinorhynchus_petrotschenkoi","Acanthocephala",NA,96,96,NA
"Acmira_philbinae","Annelida",133,NA,NA,NA
"Acmira_simplex","Annelida",147,NA,NA,NA
"Acmira_taylori","Annelida",133,NA,NA,NA
"Acoetes_flagelliformis","Annelida",46,32,9,NA
"Acoetes_melanota","Annelida",1158,831,NA,NA
"Acoetes_mohammadi","Annelida",134,NA,NA,NA
"Acoetes_pacifica","Annelida",1038,894,NA,NA
"Acoetes_pleei","Annelida",367,NA,NA,NA
"Acrocirrus_frontifilis","Annelida",482,NA,NA,NA
"Admetella_longipedata","Annelida",NA,424,NA,NA
"Aglaophamus_circinata","Annelida",636,NA,NA,NA
"Aglaophamus_dibranchis","Annelida",2628,2081,1552,NA
"Aglaophamus_elamellatus","Annelida",NA,9912,9713,5821
"Aglaophamus_lyrochaetus","Annelida",544,402,NA,NA
"Aglaophamus_macroura","Annelida",637,656,NA,NA
"Aglaophamus_malmgreni","Annelida",10755,9175,7106,NA
"Aglaophamus_ornatus","Annelida",161,NA,NA,NA
"Aglaophamus_verrilli","Annelida",940,NA,NA,NA
"Aktedrilus_parvithecatus","Annelida",270,NA,NA,NA
"Alaysia_spiralis","Annelida",NA,2324,2252,1070
"Allia_quadrilobata","Annelida",157,NA,NA,NA
"Allia_suecica","Annelida",144,NA,NA,NA
"Amaeana_trilobata","Annelida",2615,NA,NA,NA
"Amathys_lutzi","Annelida",NA,742,734,NA
"Americonuphis_magna","Annelida",210,NA,NA,NA
"Ammotrypane_aulogaster","Annelida",1847,NA,NA,NA
"Ampharete_borealis","Annelida",1133,677,NA,NA
"Ampharete_finmarchica","Annelida",2801,1892,1150,NA
"Ampharete_octocirrata","Annelida",1690,NA,NA,NA
"Ampharete_parvidentata","Annelida",345,NA,NA,NA
"Ampharete_petersenae","Annelida",907,716,360,NA
"Amphicteis_gunneri","Annelida",27511,25473,23206,12420
"Amphicteis_scaphobranchiata","Annelida",1013,NA,NA,NA
"Amphiduropsis_axialensis","Annelida",NA,394,394,NA
"Amphiglena_mediterranea","Annelida",1720,NA,NA,NA
"Amphisamytha_galapagensis","Annelida",NA,3243,3128,NA
"Amphitrite_cirrata","Annelida",3212,1997,NA,NA
"Anaitides_madeirensis","Annelida",1152,NA,NA,NA
"Ancistrosyllis_carolinensis","Annelida",346,NA,NA,NA
"Ancistrosyllis_groenlandica","Annelida",1563,NA,NA,NA
"Ancistrosyllis_hartmanae","Annelida",728,NA,NA,NA
"Ancistrosyllis_jonesi","Annelida",675,NA,NA,NA
"Ancistrosyllis_papillosa","Annelida",585,NA,NA,NA
"Anobothrus_gracilis","Annelida",2402,1673,769,NA
"Aonidella_cirrobranchiata","Annelida",1813,1633,1394,NA
"Aonides_mayaguezensis","Annelida",333,NA,NA,NA
"Aonides_oxycephala","Annelida",1308,914,NA,NA
"Aonides_paucibranchiata","Annelida",607,NA,NA,NA
"Aphelochaeta_filiformis","Annelida",1320,972,622,NA
"Aphelochaeta_marioni","Annelida",3120,NA,NA,NA
"Aphelochaeta_multifilis","Annelida",9293,9196,8970,5305
"Apomatus_globifer","Annelida",2677,1653,885,NA
"Apomatus_similis","Annelida",580,NA,NA,NA
"Apoprionospio_dayi","Annelida",727,NA,NA,NA
"Arabella_iricolor","Annelida",3744,NA,NA,NA
"Arabella_mutans","Annelida",1985,NA,NA,NA
"Arabella_protomutans","Annelida",136,NA,NA,NA
"Archinome_rosacea","Annelida",NA,600,592,NA
"Arenicola_cristata","Annelida",653,NA,NA,NA
"Aricidea_belgicae","Annelida",3008,2748,2388,841
"Aricidea_catherinae","Annelida",944,NA,NA,NA
"Aricidea_fragilis","Annelida",1577,NA,NA,NA
"Aricidea_lopezi","Annelida",741,NA,NA,NA
"Aricidea_wassi","Annelida",1035,NA,NA,NA
"Armandia_agilis","Annelida",704,NA,NA,NA
"Armandia_intermedia","Annelida",2340,NA,NA,NA
"Armandia_lanceolata","Annelida",1371,NA,NA,NA
"Armandia_leptocirris","Annelida",1152,NA,NA,NA
"Armandia_maculata","Annelida",795,NA,NA,NA
"Asclerocheilus_beringianus","Annelida",660,NA,NA,NA
"Asclerocheilus_mexicanus","Annelida",261,NA,NA,NA
"Aurospio_foodbancsia","Annelida",NA,534,511,205
"Australaugeneria_rutilans","Annelida",1003,NA,NA,NA
"Autolytus_zonatus","Annelida",135,NA,NA,NA
"Axiothella_mucosa","Annelida",640,NA,NA,NA
"Bathybdella_sawyeri","Annelida",NA,270,270,NA
"Bathydrilus_adriaticus","Annelida",255,NA,NA,NA
"Bathykermadeca_hadalis","Annelida",NA,20,20,20
"Bathysabellaria_spinifera","Annelida",NA,189,NA,NA
"Bhawania_cryptocephala","Annelida",1177,NA,NA,NA
"Bhawania_goodei","Annelida",1932,NA,NA,NA
"Bhawania_heteroseta","Annelida",738,NA,NA,NA
"Bispira_crassicornis","Annelida",578,NA,NA,NA
"Bispira_melanostigma","Annelida",1942,NA,NA,NA
"Boccardiella_hamata","Annelida",119,NA,NA,NA
"Boguea_enigmatica","Annelida",654,NA,NA,NA
"Bouchiria_vesiculosa","Annelida",52,23,NA,NA
"Brada_mammillata","Annelida",354,308,NA,NA
"Brada_villosa","Annelida",6826,5000,3377,NA
"Branchinotogluma_segonzaci","Annelida",NA,812,811,NA
"Branchinotogluma_trifurcus","Annelida",NA,110,110,NA
"Branchinotogluma_tunnicliffae","Annelida",NA,36,36,NA
"Branchiomma_cingulata","Annelida",1177,NA,NA,NA
"Branchiomma_infarctum","Annelida",639,272,NA,NA
"Branchiomma_nigromaculata","Annelida",1094,NA,NA,NA
"Branchiosyllis_exilis","Annelida",2352,NA,NA,NA
"Branchiosyllis_oculata","Annelida",510,NA,NA,NA
"Branchipolynoe_pettibonae","Annelida",NA,2205,1944,NA
"Branchipolynoe_seepensis","Annelida",NA,1252,1164,NA
"Branchipolynoe_symmytilida","Annelida",NA,631,622,NA
"Brania_furcelligera","Annelida",69,NA,NA,NA
"Brania_gallagheri","Annelida",255,NA,NA,NA
"Brania_mediodentata","Annelida",370,NA,NA,NA
"Brania_oculata","Annelida",299,NA,NA,NA
"Brania_wellfleetensis","Annelida",659,NA,NA,NA
"Brevicirrosyllis_weismanni","Annelida",1056,NA,NA,NA
"Bylgides_sarsi","Annelida",2014,NA,NA,NA
"Cabira_incerta","Annelida",680,NA,NA,NA
"Califia_calida","Annelida",728,NA,NA,NA
"Capitella_capitata","Annelida",12976,10763,8468,NA
"Capitella_jonesi","Annelida",209,NA,NA,NA
"Carazziella_hobsonae","Annelida",173,NA,NA,NA
"Ceratocephale_oculata","Annelida",639,NA,NA,NA
"Ceratonereis_articulata","Annelida",1355,1344,1280,758
"Ceratonereis_erythraeensis","Annelida",533,374,NA,NA
"Ceratonereis_irritabilis","Annelida",657,NA,NA,NA
"Ceratonereis_longicirrata","Annelida",665,NA,NA,NA
"Ceratonereis_singularis","Annelida",659,NA,NA,NA
"Ceratonereis_tripartita","Annelida",1105,779,NA,NA
"Ceratonereis_versipedata","Annelida",340,NA,NA,NA
"Chaetopterus_variopedatus","Annelida",3558,2774,NA,NA
"Chaetozone_setosa","Annelida",8800,6870,4622,NA
"Chloeia_fusca","Annelida",1233,NA,NA,NA
"Chloeia_parva","Annelida",520,NA,NA,NA
"Chloeia_rosea","Annelida",1076,NA,NA,NA
"Chloeia_viridis","Annelida",1053,NA,NA,NA
"Chone_collaris","Annelida",837,643,NA,NA
"Chone_duneri","Annelida",1723,NA,NA,NA
"Chone_infundibuliformis","Annelida",2998,1678,NA,NA
"Chrysopetalum_debile","Annelida",2181,1597,NA,NA
"Chrysopetalum_elegans","Annelida",245,NA,NA,NA
"Chrysopetalum_floridanum","Annelida",222,NA,NA,NA
"Chrysopetalum_hernancortazae","Annelida",145,NA,NA,NA
"Cirratulus_cirratus","Annelida",3516,NA,NA,NA
"Cirriformia_semicincta","Annelida",1650,1292,NA,NA
"Cirrophorus_americanus","Annelida",314,NA,NA,NA
"Cirrophorus_branchiatus","Annelida",1577,NA,NA,NA
"Cirrophorus_lyra","Annelida",688,NA,NA,NA
"Cirrophorus_perdidoensis","Annelida",80,NA,NA,NA
"Cirrophorus_perkinsi","Annelida",178,NA,NA,NA
"Cistenides_hyperborea","Annelida",1459,803,NA,NA
"Clavodorum_mexicanum","Annelida",328,NA,NA,NA
"Clymenella_mucosa","Annelida",281,NA,NA,NA
"Clymenella_torquata","Annelida",1011,NA,NA,NA
"Cossura_delta","Annelida",733,NA,NA,NA
"Cossura_laeviseta","Annelida",179,NA,NA,NA
"Cossura_soyeri","Annelida",1260,NA,NA,NA
"Crassibrachia_sandersi","Annelida",NA,82,80,46
"Crucigera_websteri","Annelida",680,NA,NA,NA
"Dasybranchus_caducus","Annelida",4469,3976,3480,NA
"Dasybranchus_lumbricoides","Annelida",1670,NA,NA,NA
"Dasybranchus_lunulatus","Annelida",494,NA,NA,NA
"Demonax_microphthalmus","Annelida",276,NA,NA,NA
"Dendronereides_heteropoda","Annelida",331,NA,NA,NA
"Dentatisyllis_carolinae","Annelida",624,NA,NA,NA
"Dentatisyllis_mangalis","Annelida",123,NA,NA,NA
"Diaphorosoma_magnavena","Annelida",262,NA,NA,NA
"Diopatra_cupraea","Annelida",855,NA,NA,NA
"Diopatra_neapolitana","Annelida",3956,3288,NA,NA
"Diopatra_neotridens","Annelida",634,NA,NA,NA
"Diopatra_ornata","Annelida",332,NA,NA,NA
"Diopatra_tridentata","Annelida",814,NA,NA,NA
"Diplocirrus_capensis","Annelida",691,NA,NA,NA
"Diplocirrus_glaucus","Annelida",2943,2392,1596,NA
"Diplocirrus_longisetosus","Annelida",150,93,NA,NA
"Dipolydora_armata","Annelida",2916,2088,NA,NA
"Dipolydora_caulleryi","Annelida",944,NA,NA,NA
"Dipolydora_quadrilobata","Annelida",1333,NA,NA,NA
"Dispio_uncinata","Annelida",1238,NA,NA,NA
"Ditrupa_arietina","Annelida",2583,1986,NA,NA
"Ditrupa_gracillima","Annelida",1202,NA,NA,NA
"Dodecaceria_fewkesi","Annelida",35,NA,NA,NA
"Dodecaceria_joubini","Annelida",49,21,NA,NA
"Dorvillea_clavata","Annelida",260,NA,NA,NA
"Dorvillea_gardineri","Annelida",237,NA,NA,NA
"Dorvillea_largidentis","Annelida",266,NA,NA,NA
"Dorvillea_sociabilis","Annelida",304,NA,NA,NA
"Drilonereis_filum","Annelida",3598,3021,2477,NA
"Drilonereis_logani","Annelida",NA,1305,990,NA
"Drilonereis_longa","Annelida",1159,NA,NA,NA
"Drilonereis_magna","Annelida",84,NA,NA,NA
"Duridrilus_tardus","Annelida",110,NA,NA,NA
"Ehlersileanira_incisa","Annelida",1337,1242,1103,NA
"Eliberidens_forceps","Annelida",285,NA,NA,NA
"Erinaceusyllis_belizensis","Annelida",336,NA,NA,NA
"Erinaceusyllis_bidentata","Annelida",35,NA,NA,NA
"Escarpia_laminata","Annelida",NA,316,266,NA
"Escarpia_spicata","Annelida",NA,1239,1161,NA
"Eteone_heteropoda","Annelida",618,NA,NA,NA
"Eteone_lactea","Annelida",478,NA,NA,NA
"Euarche_mexicana","Annelida",346,314,NA,NA
"Euarche_tubifex","Annelida",566,430,NA,NA
"Eucranta_mollis","Annelida",452,442,NA,NA
"Eucranta_villosa","Annelida",203,125,54,NA
"Eudistylia_polymorpha","Annelida",319,NA,NA,NA
"Eudistylia_vancouveri","Annelida",34,NA,NA,NA
"Eulalia_myriacyclum","Annelida",501,NA,NA,NA
"Eulalia_sanguinea","Annelida",93,NA,NA,NA
"Eulalia_viridis","Annelida",2460,NA,NA,NA
"Eumida_sanguinea","Annelida",3196,2532,1784,NA
"Eunice_afra","Annelida",607,NA,NA,NA
"Eunice_antennata","Annelida",2381,NA,NA,NA
"Eunice_aphroditois","Annelida",2840,2091,NA,NA
"Eunice_australis","Annelida",2509,1871,NA,NA
"Eunice_cariboea","Annelida",468,NA,NA,NA
"Eunice_cirrobranchiata","Annelida",70,NA,NA,NA
"Eunice_filamentosa","Annelida",1515,NA,NA,NA
"Eunice_fucata","Annelida",NA,922,NA,NA
"Eunice_indica","Annelida",2368,1843,NA,NA
"Eunice_laticeps","Annelida",2274,1788,NA,NA
"Eunice_marenzelleri","Annelida",423,311,NA,NA
"Eunice_norvegica","Annelida",2874,2201,NA,NA
"Eunice_pennata","Annelida",NA,1624,1068,NA
"Eunice_rubra","Annelida",646,NA,NA,NA
"Eunice_savignyi","Annelida",1358,991,NA,NA
"Eunice_schemacephala","Annelida",959,NA,NA,NA
"Eunice_tenuis","Annelida",326,NA,NA,NA
"Eunice_vittata","Annelida",2452,NA,NA,NA
"Eunice_websteri","Annelida",630,NA,NA,NA
"Euniphysa_aculeata","Annelida",1213,857,NA,NA
"Eunoe_kermadeca","Annelida",NA,1353,1352,990
"Eunoe_pallida","Annelida",461,NA,NA,NA
"Euphrosine_foliosa","Annelida",1849,1491,1065,NA
"Euphrosine_myrtosa","Annelida",379,NA,NA,NA
"Euphrosine_triloba","Annelida",318,NA,NA,NA
"Eupolymnia_crassicornis","Annelida",250,NA,NA,NA
"Eupolymnia_nebulosa","Annelida",3265,NA,NA,NA
"Eupolymnia_trigonostoma","Annelida",155,NA,NA,NA
"Eurysyllis_tuberculata","Annelida",1106,NA,NA,NA
"Eurythoe_complanata","Annelida",4466,3639,2853,NA
"Eusyllis_blomstrandi","Annelida",12872,11980,10748,3569
"Euthalanessa_digitata","Annelida",251,NA,NA,NA
"Euthalenessa_digitata","Annelida",456,NA,NA,NA
"Euthalenessa_festiva","Annelida",1462,NA,NA,NA
"Exogone_atlantica","Annelida",324,NA,NA,NA
"Exogone_clavator","Annelida",83,NA,NA,NA
"Exogone_dispar","Annelida",1635,NA,NA,NA
"Exogone_heterosetosa","Annelida",523,429,NA,NA
"Exogone_lourei","Annelida",965,NA,NA,NA
"Exogone_naidina","Annelida",1411,861,NA,NA
"Exogone_naidinoides","Annelida",470,NA,NA,NA
"Exogone_occidentalis","Annelida",443,NA,NA,NA
"Exogone_pseudolourei","Annelida",420,326,NA,NA
"Exogone_wolfi","Annelida",293,NA,NA,NA
"Fabricia_sabella","Annelida",712,NA,NA,NA
"Fabriciola_trilobata","Annelida",237,NA,NA,NA
"Ficopomatus_enigmaticus","Annelida",751,495,NA,NA
"Fimbriosthenelais_minor","Annelida",459,NA,NA,NA
"Flabelligera_bicolor","Annelida",36,NA,NA,NA
"Flabelligera_diplochaitos","Annelida",257,NA,NA,NA
"Galapagomystides_aristata","Annelida",NA,534,534,NA
"Galeolaria_caespitosa","Annelida",729,NA,NA,NA
"Gattyana_cirrhosa","Annelida",1962,1420,566,NA
"Genetyllis_castanea","Annelida",2007,1223,NA,NA
"Glycera_abranchiata","Annelida",674,NA,NA,NA
"Glycera_alba","Annelida",2164,1594,NA,NA
"Glycera_americana","Annelida",1608,NA,NA,NA
"Glycera_brevicirris","Annelida",2045,NA,NA,NA
"Glycera_capitata","Annelida",1878,NA,NA,NA
"Glycera_cinnamomea","Annelida",371,NA,NA,NA
"Glycera_convoluta","Annelida",2014,NA,NA,NA
"Glycera_dibranchiata","Annelida",623,NA,NA,NA
"Glycera_lancadivae","Annelida",1408,NA,NA,NA
"Glycera_longipinnis","Annelida",2799,2233,1746,NA
"Glycera_oxycephala","Annelida",2371,2160,1865,NA
"Glycera_papillosa","Annelida",862,NA,NA,NA
"Glycera_rouxi","Annelida",2514,1776,NA,NA
"Glycera_sphyrabrancha","Annelida",1045,NA,NA,NA
"Glycera_tesselata","Annelida",16829,15934,15014,6154
"Glycera_tridactyla","Annelida",3587,2832,2037,NA
"Glycera_unicornis","Annelida",634,540,360,NA
"Glycinde_nordmanni","Annelida",855,NA,NA,NA
"Glycinde_solitaria","Annelida",469,NA,NA,NA
"Glyphanostomum_pallescens","Annelida",153,98,40,NA
"Goniada_congoensis","Annelida",259,221,158,NA
"Goniada_littorea","Annelida",690,NA,NA,NA
"Goniada_maculata","Annelida",2572,NA,NA,NA
"Goniada_teres","Annelida",360,NA,NA,NA
"Goniadides_carolinae","Annelida",714,NA,NA,NA
"Goniadopsis_maskallensis","Annelida",239,NA,NA,NA
"Grubeulepis_augeneri","Annelida",380,NA,NA,NA
"Grubeulepis_mexicana","Annelida",639,NA,NA,NA
"Grubeulepis_westoni","Annelida",357,NA,NA,NA
"Gyptis_vittata","Annelida",521,NA,NA,NA
"Haplosyllis_spongicola","Annelida",2163,NA,NA,NA
"Harmothoe_aculeata","Annelida",275,NA,NA,NA
"Harmothoe_dictyophora","Annelida",1163,NA,NA,NA
"Harmothoe_ernesti","Annelida",230,NA,NA,NA
"Harmothoe_impar","Annelida",1996,1731,1339,NA
"Harmothoe_minuta","Annelida",484,NA,NA,NA
"Hermenia_acantholepis","Annelida",1813,NA,NA,NA
"Hermodice_carunculata","Annelida",1353,NA,NA,NA
"Hesione_pantherina","Annelida",3402,2903,2381,NA
"Hesione_picta","Annelida",341,NA,NA,NA
"Hesione_splendida","Annelida",2171,NA,NA,NA
"Hesionura_coineaui","Annelida",355,NA,NA,NA
"Hesionura_elongata","Annelida",810,NA,NA,NA
"Heteralentia_ptycholepis","Annelida",1271,NA,NA,NA
"Heterodrilus_ersei","Annelida",97,NA,NA,NA
"Heterodrilus_modestus","Annelida",162,NA,NA,NA
"Heterodrilus_pentcheffi","Annelida",255,NA,NA,NA
"Heterodrilus_quadrithecatus","Annelida",101,NA,NA,NA
"Heteromastus_filiformis","Annelida",1719,NA,NA,NA
"Heteromastus_similis","Annelida",195,NA,NA,NA
"Heteropodarke_lyonsi","Annelida",621,NA,NA,NA
"Heterospio_catalinensis","Annelida",168,NA,NA,NA
"Hirsutonuphis_gemminata","Annelida",78,NA,NA,NA
"Hyalinoecia_tubicola","Annelida",2827,2200,1318,NA
"Hyalopale_bispinosa","Annelida",83,NA,NA,NA
"Hyboscolex_quadricincta","Annelida",213,NA,NA,NA
"Hydroides_albiceps","Annelida",1018,NA,NA,NA
"Hydroides_bispinosa","Annelida",283,NA,NA,NA
"Hydroides_brachyacanthus","Annelida",361,NA,NA,NA
"Hydroides_dianthus","Annelida",762,NA,NA,NA
"Hydroides_elegans","Annelida",9292,8555,7872,NA
"Hydroides_exaltatus","Annelida",146,NA,NA,NA
"Hydroides_heterocerus","Annelida",922,NA,NA,NA
"Hydroides_homoceros","Annelida",174,NA,NA,NA
"Hydroides_longispinosus","Annelida",750,NA,NA,NA
"Hydroides_microtis","Annelida",304,NA,NA,NA
"Hydroides_norvegicus","Annelida",1058,NA,NA,NA
"Hydroides_perezi","Annelida",21,NA,NA,NA
"Hydroides_protulicola","Annelida",361,NA,NA,NA
"Hydroides_tuberculatus","Annelida",799,NA,NA,NA
"Hyperhalosydna_striata","Annelida",1685,NA,NA,NA
"Hypsicomus_phaeotenia","Annelida",1976,NA,NA,NA
"Inanidrilus_aduncosetis","Annelida",97,NA,NA,NA
"Inanidrilus_leukodermatus","Annelida",101,NA,NA,NA
"Inermonephtys_inermis","Annelida",2046,NA,NA,NA
"Iphionella_elongata","Annelida",250,238,NA,NA
"Isolda_pulchella","Annelida",1712,NA,NA,NA
"Janita_fimbriata","Annelida",166,NA,NA,NA
"Janua_brasiliensis","Annelida",255,165,NA,NA
"Janua_kayi","Annelida",113,NA,NA,NA
"Janua_pagenstecheri","Annelida",1520,NA,NA,NA
"Jasmineira_elegans","Annelida",3169,2650,1980,NA
"Jasmineira_schaudinni","Annelida",506,335,183,NA
"Josephella_marenzelleri","Annelida",1032,NA,NA,NA
"Kinbergonuphis_investigatoris","Annelida",1232,1136,1019,321
"Kinbergonuphis_microcephala","Annelida",617,NA,NA,NA
"Kinbergonuphis_pulchra","Annelida",223,NA,NA,NA
"Kinbergonuphis_simoni","Annelida",315,NA,NA,NA
"Kinbergonuphis_virgata","Annelida",555,NA,NA,NA
"Kuwaita_magna","Annelida",135,NA,NA,NA
"Labioleanira_yhleni","Annelida",1107,753,NA,NA
"Lacydonia_miranda","Annelida",480,NA,NA,NA
"Laeonereis_culveri","Annelida",570,NA,NA,NA
"Laetmonice_benthaliana","Annelida",NA,3618,3601,2603
"Laetmonice_producta","Annelida",969,949,NA,NA
"Lagis_koreni","Annelida",1889,1152,NA,NA
"Lamellibrachia_barhami","Annelida",NA,985,948,NA
"Lamellisabella_denticulata","Annelida",NA,1222,1221,604
"Lanice_conchilega","Annelida",2121,NA,NA,NA
"Laonice_cirrata","Annelida",4530,NA,NA,NA
"Leanira_hystricis","Annelida",NA,169,NA,NA
"Leiochrides_pallidior","Annelida",432,NA,NA,NA
"Leitoscoloplos_foliosus","Annelida",320,NA,NA,NA
"Leitoscoloplos_fragilis","Annelida",576,NA,NA,NA
"Leitoscoloplos_robustus","Annelida",479,NA,NA,NA
"Leocrates_claparedii","Annelida",1694,1343,NA,NA
"Leonnates_decipiens","Annelida",1012,NA,NA,NA
